timestamp,sender,content
2023-01-01 10:00,Me,Good morning!
2023-01-01 10:01,Alice,Good morning! Did you sleep well?
2023-01-01 10:02,Me,I slept great, thanks for asking.
2023-01-01 10:03,Me,What are your plans for today?
2023-01-01 10:04,Alice,Nothing much, just relaxing at home.
2023-01-01 10:05,Me,Nice, enjoy your day off.
2023-01-01 10:06,Alice,Thanks, you too!
2023-01-01 10:07,Me,Do you want to get some coffee later?
2023-01-01 10:08,Alice,Sure, that sounds great.
2023-01-01 10:09,Me,How about 2pm at the usual place?
2023-01-01 10:10,Alice,Perfect, see you then.
2023-01-01 10:11,Me,Looking forward to it.
2023-01-01 10:12,Alice,Me too, it's been a while.
2023-01-01 10:13,Me,Yes, we should catch up properly.
2023-01-01 10:14,Alice,Absolutely, there's so much to talk about.
2023-01-01 10:15,Me,Don't forget to bring that book you mentioned.
2023-01-01 10:16,Alice,Oh right, I'll pack it now.
2023-01-01 10:17,Me,Great, see you at 2!
2023-01-01 10:18,Alice,See you!
